,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
103,"El Güero (Feat. Marca MP)","Grupo Firme",999497,https://open.spotify.com/track/2MeEuwplwbbjZ7hxRI6viw
104,"2 Veces","Los Plebes del Rancho de Ariel Camacho",990941,https://open.spotify.com/track/4cV6ld7uIs906zOwNscoBM
105,"good 4 u","Olivia Rodrigo",989459,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
106,"El Color de Tus Ojos","Banda MS de Sergio Lizárraga",975378,https://open.spotify.com/track/1l77YWrGUp3qX3NS1rz7lq
107,"Cerrando Ciclos","Banda MS de Sergio Lizárraga",972380,https://open.spotify.com/track/3fBJNawfhtgCmo58trRK2z
108,"UN DIA (ONE DAY)","J Balvin",950659,https://open.spotify.com/track/66x45Yh9x397PWpxMX0ZDT
109,"Belleza De Cantina","Cardenales De Nuevo León",950188,https://open.spotify.com/track/4ZplewvZRLFcfBa5uyBbhd
110,"La Botella","Justin Quiles",948316,https://open.spotify.com/track/6GPBXtnSepHovJi1uD1Ggj
111,PSL,Sech,942612,https://open.spotify.com/track/6o4Gciys1ZIOQ2kDGnvKdm
112,"Bombos y Tarolas","Cartel De Santa",940231,https://open.spotify.com/track/5MyEACD2kRFeh231Z6FkdE
113,Amapolas,"Leo Rizzi",939634,https://open.spotify.com/track/0z5yLgBmAtaylDYrgwzlpH
114,"Sal y Perrea",Sech,936308,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
115,"TE MUDASTE","Bad Bunny",935138,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
116,"El Amor Soñado","Los Tucanes De Tijuana",929311,https://open.spotify.com/track/587p8shYuTXUhThG3t9x60
117,"Adiós Amor","Christian Nodal",927282,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y
118,"Si Estuviésemos Juntos","Bad Bunny",916569,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
119,"Sabes Una Cosa","Luis Miguel",915826,https://open.spotify.com/track/21Ullb4TU8qMsQd0Iselng
120,"Need To Know","Doja Cat",906010,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
121,"Ram Pam Pam","Natti Natasha",905420,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
122,"Pa' Olvidarme De Ella","Piso 21",901064,https://open.spotify.com/track/3lR4O0vtkhCAvVEUEWUL0S
123,Callaita,"Bad Bunny",898318,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
124,"Me Dediqué a Perderte","Alejandro Fernández",897135,https://open.spotify.com/track/4NUt1fcnO9aQAELBgXq3Kr
125,"El Amor De Tu Vida","Carin Leon",885958,https://open.spotify.com/track/5HpXH64cSBNu26yhw3vK37
126,Vete,"Bad Bunny",883226,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
127,"KESI - Remix",Camilo,882268,https://open.spotify.com/track/0IqCoZ168iRc9LqfrYgpZy
128,"Hasta Que Me Olvides","Luis Miguel",881431,https://open.spotify.com/track/6vPAmoERUMRoTZaCCSWQ12
129,"La Media Vuelta","Luis Miguel",859530,https://open.spotify.com/track/1lKI9y1DL6QnYTZguVmACX
130,"¿Quién Te Crees?","MC Davo",858635,https://open.spotify.com/track/2LXOSAYiSrTfIf8smheLaz
131,"Mente Positiva","Junior H",858461,https://open.spotify.com/track/3WQilym5Vi4ypxb70vx0eY
132,"MONTERO (Call Me By Your Name)","Lil Nas X",858060,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
133,"La Santa","Bad Bunny",854699,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
134,"El Envidioso","Los Dos Carnales",850439,https://open.spotify.com/track/53PoPAD389bBE4ePYuT95g
135,"Si Veo a Tu Mamá","Bad Bunny",847429,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
136,"El Drip","Natanael Cano",845526,https://open.spotify.com/track/5NCBP3ivrIDcHEtzHSW3k0
137,Reloj,"Rauw Alejandro",837702,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
138,"No Te Contaron Mal","Christian Nodal",835902,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
139,"Simplemente Gracias","Calibre 50",834070,https://open.spotify.com/track/3K6noLeoPTQJ5jUErC8jT5
140,"El Amor No Fue Pa´ Mí - En Vivo","Grupo Firme",829007,https://open.spotify.com/track/3dkEwOKhFselY2m22Nj2vi
141,"Amor A Primera Vista","Los Ángeles Azules",826743,https://open.spotify.com/track/5Myb8S90Wg0yLec5kmrIGJ
142,"Cada Vez Te Extraño Más","Grupo Firme",825321,https://open.spotify.com/track/70w1mwTod6NgCNV6e7ZlIQ
143,"Amor Tumbado","Natanael Cano",822977,https://open.spotify.com/track/5aJ1M43pinROpwaPnO8KRj
144,"Don't Start Now","Dua Lipa",821751,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
145,"Se Me Olvidó","Christian Nodal",820786,https://open.spotify.com/track/7paFC3FEu1WtPVP4Do6VZN
146,"Música Romántica","Pancho Barraza",817035,https://open.spotify.com/track/0gOwkN1piWLMINfj97SogV
147,"Amor Fugaz","Los Del Limit",811547,https://open.spotify.com/track/4O2bxKTnK9En7OPw8kGDDF
148,Todavia,"La Factoria",807950,https://open.spotify.com/track/3D5uEBD0cAEGZGUo5j9045
149,"¿Por Qué Me Haces Llorar?","Juan Gabriel",797945,https://open.spotify.com/track/68pE8830rWrd5LSSfKcRqn
150,"La Incondicional","Luis Miguel",797185,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
151,Butter,BTS,795603,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
152,Desvelado,"Bobby Pulido",793294,https://open.spotify.com/track/2JJSGhPpATm8lXeYjD95fw
153,"Culón Culito","Cartel De Santa",793034,https://open.spotify.com/track/2JNqLKnqJejNzrmRLNFNFL
154,"Disfruto Lo Malo","Junior H",783011,https://open.spotify.com/track/46DU5gYWY2vjE79mbhX4Wv
155,"Devuélveme a mi chica","Hombres G",780884,https://open.spotify.com/track/1Wrzhfa5bNlqvsnCztz190
156,"Levitating (feat. DaBaby)","Dua Lipa",778717,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
157,Tú,"Los Elegantes de Jerez",777737,https://open.spotify.com/track/5GkeaIeCEfB0LOqk7sIVHQ
158,"Vámonos a Marte","Kevin Kaarl",768754,https://open.spotify.com/track/2TzkIzgzIHhewMxyh1u4hh
159,"La Mitad",Camilo,768343,https://open.spotify.com/track/63Zaf8Rci6eOUPqDQ4fUFx
160,Leve,"Cartel De Santa",755689,https://open.spotify.com/track/00jpfco62YfQj1BBYCCuKH
161,"Tal Vez","Paulo Londra",755569,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
162,"drivers license","Olivia Rodrigo",755414,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
163,Tatuajes,"Joan Sebastian",748422,https://open.spotify.com/track/57dG9il4j7Hi7G8Cqgi0Ts
164,traitor,"Olivia Rodrigo",747806,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
165,"Tan Solo Morro","Aldo Trujillo",747713,https://open.spotify.com/track/5eBzDfTG7m8NUWf14YYQcU
166,"Una Locura",Ozuna,743027,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
167,"Lamento Boliviano","Los Enanitos Verdes",741898,https://open.spotify.com/track/6Pur3hWy6Nzc27ilmsp5HA
168,"Si Te Vienen a Contar","Cartel De Santa",741778,https://open.spotify.com/track/1qNUhmx3rGjiMRThz7Eruv
169,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",740445,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
170,Locos,"León Larregui",735070,https://open.spotify.com/track/3GSMdtJphymHEsR8K9jT5Q
171,Prometiste,"Pepe Aguilar",725433,https://open.spotify.com/track/2UypFzxfaYgMUnQX2k4qtj
172,Éxtasis,"Millonario & W. Corona",721425,https://open.spotify.com/track/4xbMF8jx0msGGgrtJaAuXE
173,"A Mí","Rels B",719170,https://open.spotify.com/track/7MmrcXVA7A5zZ2CbDuGHNa
174,"Algo Mágico","Rauw Alejandro",716787,https://open.spotify.com/track/7D93pJcwymzaZx8WgBo2zG
175,"Con Tus Besos","Eslabon Armado",708868,https://open.spotify.com/track/6WYB1odDfMPVMyp1QxFInT
176,Tusa,"KAROL G",708439,https://open.spotify.com/track/0dKg2vGC1hFqcK5LGTaKzX
177,Safaera,"Bad Bunny",703643,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
178,"999 (with Camilo)","Selena Gomez",702936,https://open.spotify.com/track/0EtuSDTRJYUwlPf4y6coIz
179,"I WANNA BE YOUR SLAVE",Måneskin,701706,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
180,"Por Mujeres Como Tú","Pepe Aguilar",699441,https://open.spotify.com/track/4Zd6gElrsmSyVomurxAPOD
181,"Así Soy","Santa Fe Klan",696116,https://open.spotify.com/track/5Wvw29RKTFSK0IuCd2qs4m
182,"CÓMO SE SIENTE - Remix","Jhay Cortez",695567,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
183,Dueles,"Jesse & Joy",694343,https://open.spotify.com/track/1iRvhKiXRElIH2Uf4gd95P
184,"Fuerte No Soy",Intocable,691340,https://open.spotify.com/track/7A07Yu1dRND3RKDzbhKrDs
185,"deja vu","Olivia Rodrigo",690006,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
186,"Save Your Tears","The Weeknd",687257,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
187,"Watermelon Sugar","Harry Styles",682982,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
188,"Somos Los Que Somos - En Vivo","Los 2 de la S",681869,https://open.spotify.com/track/1Z04XN4pH2b8JfdiaIEkl5
189,Bonita,"Los Dorados",681256,https://open.spotify.com/track/4oonyJXO2PuTXq2KUOdFPH
190,"Wow Wow (feat. Becky G)","Maria Becerra",680419,https://open.spotify.com/track/4Yip3hds5IHyT7AqoNHfmX
191,"Vida de Rico",Camilo,676996,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
192,Casualidad,"Sofía Reyes",676775,https://open.spotify.com/track/5FcT2TuosRkokjn3xyncER
193,Azul,"J Balvin",676322,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
194,"Happier Than Ever","Billie Eilish",673392,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
195,"Relación - Remix",Sech,671403,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
196,Toketeo,"Ghetto Kids",667102,https://open.spotify.com/track/0pRgURvgp75RPKjTGQodau
197,"Te Acuerdas De Mí","J Balvin",665536,https://open.spotify.com/track/3EgHkFBGUu7NHZspAdiy0D
198,"Culpable O No - Miénteme Como Siempre","Luis Miguel",663798,https://open.spotify.com/track/7BwxbmYFy0l3ROHDjV2c14
199,"Por Mi No Te Detengas","Banda MS de Sergio Lizárraga",660580,https://open.spotify.com/track/3mV5TTtHnXUeOzRkyFKsVl
200,"Nunca Es Suficiente","Los Ángeles Azules",657126,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg
